"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,cuestionario_adolescentes_0_consent_asent,,text,"Record ID",,,,,,,,,,,,,
colegio_id,cuestionario_adolescentes_0_consent_asent,,radio,"¿A qué colegio pertenece?","2025A, Colegio Jorge Basadre - VMT | 2025B, Colegio Santísima Virgen de Chapi - Pachacamac | 2025C, Colegio 0028 Jesus y María - La Molina",,,,,,,y,LV,,,,
numero_visita,cuestionario_adolescentes_0_consent_asent,,radio,"Número de visita","0, Tamizaje | 1, Basal (visita 1) | 2, Visita 2 | 3, Visita 3 | 4, Visita 4 | 5, Visita 5",,,,,,,y,,,,,
consentimiento_1,cuestionario_adolescentes_0_consent_asent,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Consentimiento del padre/madre/tutor legal</p></div>",radio,"¿El padre, madre o tutor legal firmó el consentimiento informado para autorizar la participación del menor en este estudio?","0, No | 1, Sí","(Marque solo una alternativa).",,,,,,y,LV,,,,
consentimiento_2,cuestionario_adolescentes_0_consent_asent,,radio,"¿El padre, madre o tutor legal firmó el consentimiento informado para participar en este estudio?","0, No | 1, Sí","(Marque solo una alternativa).",,,,,,y,LV,,,,
consentimiento_nombre,cuestionario_adolescentes_0_consent_asent,,text,"Nombre de la persona que firmó el consentimiento informado",,"Escribir en mayúsculas y sin tildes",,,,,,y,LV,,,," @PLACEHOLDER =""Nombre del padre/madre/tutor legal"""
consenti_relacion,cuestionario_adolescentes_0_consent_asent,,radio,"Relación con el niño/adolescente","1, madre | 2, padre | 3, otro (especificar) {consenti_relacion_otro}","(Marque solo una alternativa).",,,,,,y,LV,,,,
consenti_relacion_otro,cuestionario_adolescentes_0_consent_asent,,text,"Otro (especifique):________________________",,"Escribir en mayúsculas y sin tildes",,,,,[consenti_relacion]='3',y,RH,,,,
asentimiento_1,cuestionario_adolescentes_0_consent_asent,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Asentimiento del niño/adolescente</p></div>",radio,"¿El niño/adolescente recibió la hoja de asentimiento en un lenguaje adecuado para su edad?","0, No | 1, Sí","(Marque solo una alternativa).",,,,,,y,LV,,,,
asentimiento_2,cuestionario_adolescentes_0_consent_asent,,radio,"¿El niño/adolescente expresó libremente su deseo de participar en el estudio (asentimiento informado)?","0, No | 1, Sí","(Marque solo una alternativa).",,,,,,y,LV,,,,
asentimiento_nombre,cuestionario_adolescentes_0_consent_asent,,text,"Nombre de la persona que firmó el consentimiento informado",,"Escribir en mayúsculas y sin tildes.",,,,,,y,LV,,,," @PLACEHOLDER=""Nombre del padre/madre/tutor legal"""
consent_asent_investig,cuestionario_adolescentes_0_consent_asent,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Verificación del consentimiento y del asentimiento informado</p></div>",radio,"El encuestador/investigador verificó la firma del consentimiento y asentimiento.","0, No | 1, Sí","(Marque solo una respuesta)",,,,,,y,LV,,,,
encuestador_0,cuestionario_adolescentes_0_consent_asent," ",text,Encuestador,,,,,,,,y,RH,,,," @USERNAME"
fecha_hora_0,cuestionario_adolescentes_0_consent_asent,,text,"Fecha y hora (fin)",,HH:MM:SS,time_hh_mm_ss,,,,,y,RH,,,," @NOW @HIDEBUTTON @READONLY"
comentario_0,cuestionario_adolescentes_0_consent_asent,,notes,"Comentario adicional",,"Escribir en mayúsculas y sin tildes",,,,,,,LH,,,," @CHARLIMIT=300 @PLACEHOLDER(""Observaciones o incidencias durante la medición en trabajo de campo"")"
pariente_del_infante,cuestionario_padres_sociodemografico,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 1: Datos Sociodemográficos</p></div>",radio,"¿Quién completa el formulario?","1, Madre | 2, Padre | 3, Otro pariente (especifique): {pariente_del_infante_2}",,,,,,,y,LV,,,,
pariente_del_infante_2,cuestionario_padres_sociodemografico,,text,"Otro pariente (especifique):",,"Escriba con mayúsculas y sin tildes",,,,,"[pariente_del_infante]=""3""",y,LV,,,," @CHARLIMIT=50"
nombre_apoderado,cuestionario_padres_sociodemografico,,text,"Nombre y Apellidos del familiar (madre/padre/apoderado)",,"Escribir en mayúsculas y sin tildes.",,,,,,y,LV,,,," @PLACEHOLDER='ANA LUCIA ALCANTARA DIAZ'"
fecha_nacimiento_pariente,cuestionario_padres_sociodemografico,,text,"Fecha de nacimiento de la madre/padre/pariente:",,(DD/MM/AAAA),date_dmy,,,,,y,LV,,,," @HIDEBUTTON"
edad_pariente,cuestionario_padres_sociodemografico,,text,"Edad autorreportada de la madre/padre/pariente",,"Unidad: años",integer,18,90,,,y,RH,,,," @PLACEHOLDER='28'"
celular_pariente,cuestionario_padres_sociodemografico,,text,"Celular de la madre/padre/apoderado",,,integer,,,,,y,LV,,,," @CHARLIMIT=9 @PLACEHOLDER='9 dígitos'"
estado_civil_pariente,cuestionario_padres_sociodemografico,,radio,"¿Cuál es su estado civil?","1, Soltero(a) | 2, Casado(a) | 3, Conviviente | 4, Separado(a) | 5, Divorciado(a) | 6, Viudo(a) | 99, Prefiero no responder","(marque solo una opción)",,,,,,y,LV,,,,
